diffNuisances run on fitDiagnosticsTest.root, at 2021-12-13 08:36:43.973077 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2018_TT_SRB3                                 +0.11, 1.00        +0.00, 1.00       -0.01      -0.001
stat2018_TT_SRB2                                 +0.22, 1.00        +0.00, 1.00       -0.01      -0.000
stat2018_DY_SRB5                                 +0.10, 1.03        +0.00, 1.00       -0.01      -0.001
stat2018_DY_SRB4                                 +1.59, 0.68     * +0.00, 0.99*       -0.01      -0.001
stat2018_DY_SRB3                                 +1.66, 0.54     * +0.00, 0.99*       -0.01      -0.001
stat2018_DY_SRB2                                 +1.39, 0.91     * +0.00, 0.99*       -0.01      -0.001
stat2018_DY_SRB13                                -0.75, 0.77     * +0.00, 0.93*       +0.01      +0.001
stat2018_DY_SRB12                                -0.36, 0.89     * -0.00, 0.98*       +0.01      +0.001
stat2017_sig_SRB7                                +0.00, 1.00        +0.00, 0.91       +0.01      +0.001
stat2017_sig_SRB6                                +0.00, 1.00        -0.00, 0.97       -0.01      -0.001
stat2017_sig_SRB14                               +0.00, 1.00        -0.00, 0.96       -0.01      -0.001
stat2017_sig_SRB12                               +0.00, 1.00        +0.00, 0.98       -0.01      -0.001
stat2017_sig_SRB11                               +0.00, 1.00        +0.00, 0.97       +0.01      +0.001
stat2017_otherSM_SRB10                           +0.18, 1.06        -0.00, 0.98       +0.01      +0.001
stat2017_fake_SRB9                               +0.27, 1.08        -0.00, 0.99       -0.01      -0.001
stat2017_fake_SRB7                               +0.51, 0.86     * +0.00, 0.90*       +0.01      +0.001
stat2017_fake_SRB5                               +2.09, 0.49     ! -0.00, 0.99!       -0.01      -0.001
stat2017_fake_SRB4                               +0.38, 1.13     * -0.00, 0.98*       -0.01      -0.001
stat2017_fake_SRB15                              -0.66, 0.83     * +0.00, 0.95*       +0.01      +0.001
stat2017_fake_SRB14                              -0.01, 0.95        -0.00, 0.97       -0.01      -0.001
stat2017_TT_SRB9                                 +0.21, 1.03        -0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB8                                 +0.01, 0.98        +0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB6                                 -0.12, 0.97        -0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB5                                 +0.19, 1.02        -0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB4                                 +0.27, 1.03        -0.00, 0.99       -0.01      -0.001
stat2017_TT_SRB3                                 +0.08, 0.97        +0.00, 0.98       -0.01      -0.001
